,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
9480,2,1,1,2,31301,5,313,3,6.0,8.0,2.0,2.0,1.0,2.0,2.0,1,2,1,2.0,,,2.0,7.0,2.0,0,3,3.67
16971,2,1,1,2,51202,2,51,1,,8.0,2.0,1.0,2.0,1.0,2.0,1,2,2,1.0,1,2,3.0,8.0,2.0,1,3,7.67
11629,1,1,1,2,41301,3,413,3,4.0,8.0,1.0,2.0,,2.0,1.0,2,5,2,1.0,1,1,2.0,6.0,2.0,1,1,7.17
8897,2,1,1,2,31301,5,313,1,5.0,4.0,1.0,2.0,,2.0,2.0,1,1,2,2.0,,,2.0,4.5,2.0,0,3,3.17
15236,1,1,1,2,42101,3,42,1,8.0,4.0,2.0,2.0,2.0,2.0,2.0,4,,2,2.0,,,1.0,6.0,2.0,0,0,3.67
4844,2,2,1,2,21101,3,211,1,,5.0,2.0,2.0,1.0,2.0,1.0,2,1,2,1.0,1,1,2.0,5.0,2.0,1,1,7.67
20509,1,2,1,2,71302,4,71,1,8.0,8.0,2.0,1.0,1.0,2.0,1.0,1,1,1,2.0,,,3.0,8.0,1.0,1,3,6.33
1239,2,1,1,2,11201,3,112,1,4.0,4.0,1.0,2.0,,1.0,2.0,1,3,1,1.0,1,2,2.0,4.0,2.0,1,3,7.17
3361,2,1,1,2,11301,3,113,1,4.0,8.0,1.0,1.0,,2.0,2.0,1,2,1,2.0,,,2.0,6.0,1.0,0,3,1.83
18457,1,2,1,2,53301,2,53,1,4.0,4.0,1.0,1.0,,1.0,2.0,4,,2,1.0,1,2,2.0,4.0,1.0,1,0,5.83
22697,2,3,1,2,71901,4,71,1,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2,3,1,2.0,,,2.0,3.5,1.0,0,1,2.83
9391,2,1,1,2,31301,5,313,1,3.0,3.0,0.0,,,2.0,2.0,1,1,1,1.0,1,2,1.0,3.0,0.0,0,3,0.0
24636,2,2,1,2,73202,4,73,1,5.0,3.0,2.0,1.0,1.0,2.0,2.0,4,,2,1.0,1,2,2.0,4.0,1.0,0,0,2.33
14378,1,1,1,2,41601,3,41,1,6.0,4.0,1.0,1.0,,1.0,2.0,1,1,2,2.0,,,1.0,5.0,1.0,1,3,5.83
12308,1,2,1,2,41301,3,413,1,5.0,4.0,2.0,1.0,3.0,2.0,2.0,4,,2,1.0,1,2,2.0,4.5,3.0,0,0,5.0
347,2,1,1,2,11101,3,11,1,4.0,4.0,1.0,2.0,,2.0,2.0,1,2,1,1.0,1,2,2.0,4.0,2.0,0,3,3.17
17949,1,1,1,2,53101,2,53,1,8.0,8.0,5.0,3.0,1.0,1.0,1.0,2,3,2,1.0,2,2,2.0,8.0,3.0,1,1,10.0
17367,2,2,1,2,52101,2,52,1,4.0,4.0,3.0,1.0,2.0,1.0,2.0,4,,2,2.0,,,3.0,4.0,2.0,1,0,8.17
13238,2,1,1,2,41301,3,413,1,8.0,8.0,1.0,1.0,,1.0,2.0,3,5,1,2.0,,,2.0,8.0,1.0,1,2,5.83
26307,1,2,1,1,91201,5,912,1,6.0,8.0,2.0,2.0,1.0,2.0,1.0,1,3,1,1.0,2,2,1.0,7.0,2.0,1,3,7.67
